50
0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,#4
0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,#4
4,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,#4
0,0,2,0,0,0,0,0,4,0,0,0,2,2,0,0,#8
2,0,0,0,0,0,0,0,4,0,0,0,4,2,0,0,#16
2,2,0,2,8,0,0,0,0,0,0,0,0,0,0,0,#20
0,0,2,4,0,0,0,8,0,0,0,0,0,0,0,2,#20
2,4,0,0,8,0,0,0,0,0,0,2,2,0,0,0,#20
2,4,0,2,8,2,0,0,2,0,0,0,0,0,0,0,#20
0,2,4,2,0,0,8,2,0,0,2,2,0,0,0,0,#24
2,4,2,0,8,2,0,0,4,2,0,0,0,0,0,0,#24
0,2,4,2,0,0,8,2,0,0,4,2,0,0,0,2,#32
0,0,0,0,0,0,4,2,0,0,8,4,0,2,4,4,#40
0,0,0,0,4,2,0,4,8,4,0,0,2,8,0,0,#40
0,0,0,0,0,4,2,4,0,0,8,4,0,2,2,8,#48
0,0,0,0,0,0,2,0,0,4,8,8,4,2,2,8,#64
0,0,0,2,0,0,2,0,0,4,8,0,4,2,2,16,#64
4,4,2,2,0,2,8,16,0,0,2,0,0,2,0,0,#76
0,0,8,4,2,2,8,16,0,0,0,2,0,0,0,2,#80
8,4,0,0,4,8,16,0,2,0,0,2,2,0,0,0,#84
0,0,8,4,2,4,8,16,0,0,0,4,0,0,0,2,#100
0,0,0,4,0,0,0,16,0,4,0,4,2,4,16,2,#108
2,8,16,4,0,0,0,16,0,0,0,4,0,2,0,2,#112
2,8,16,4,16,0,2,0,4,0,0,0,4,0,0,0,#112
2,8,16,4,0,0,16,2,0,2,0,4,0,0,0,4,#152
0,0,0,0,0,0,0,4,2,8,0,2,2,2,32,8,#156
4,8,32,4,2,2,0,2,0,0,0,8,0,0,0,0,#160
4,8,32,4,4,2,0,0,8,0,0,0,0,0,2,0,#168
8,8,32,4,8,2,2,0,0,0,0,2,0,0,0,0,#184
0,0,2,0,0,0,0,0,0,8,32,4,16,2,2,2,#188
0,0,0,2,0,0,0,2,0,8,32,4,0,16,2,4,#188
2,0,0,0,2,2,0,0,8,32,4,0,16,2,4,0,#192
2,0,0,2,0,0,0,4,0,8,32,4,0,16,2,4,#200
0,0,0,0,0,0,2,2,0,8,32,4,2,16,2,8,#204
0,0,0,0,4,4,0,0,8,32,4,0,2,16,2,8,#212
0,0,0,0,0,0,2,8,0,8,32,4,2,16,2,8,#212
0,2,0,0,2,8,0,0,8,32,4,0,2,16,2,8,#212
0,0,0,2,0,0,2,8,2,8,32,4,2,16,2,8,#216
4,8,2,2,2,16,32,8,0,0,2,4,0,0,0,8,#220
4,8,4,2,2,16,32,8,2,4,0,0,8,0,0,0,#220
4,8,4,2,2,16,32,8,0,2,2,4,0,0,0,8,#220
0,0,2,2,0,8,4,8,4,16,32,4,2,2,2,8,#220
4,8,2,2,2,16,4,8,0,2,32,4,0,2,2,8,#228
4,8,4,0,2,16,4,8,2,32,4,0,4,8,2,0,#228
2,4,8,4,2,16,4,8,0,2,32,4,0,4,8,2,#232
2,4,8,4,0,16,4,8,0,2,32,4,4,4,8,2,#240
2,4,8,4,16,4,8,0,2,32,4,0,8,8,2,2,#264
2,8,16,4,16,32,4,2,2,8,2,0,8,0,0,2,#268
2,8,16,4,16,32,4,4,2,8,2,0,8,0,2,0,#276
2,8,16,4,16,32,8,0,2,8,2,0,8,2,2,0,#276
